Name,Price,Description of product,Original URL,Keywords,Stretch goals,Alternative sizes or colors available
Stonewashed Organic Cotton Percale Sheet Set,$143 (was $179),"Loomed in India 61 reviews Sleep a little easier in this crisp, breathable percale bedding set that gets softer with every wash. Set includes: -1 flat sheet -1 fitted sheet -2 pillowcases Loomed at a fair trade mill in Bangalore, India, this percale bedding is crafted from 100% organic, long-staple cotton. Sourcing their materials from local family farms, this workshop holds every sheet to the highest standards, stonewashing each piece for an effortlessly soft finish. Each piece is Oeko-Tex® and Global Organic Textile Standard (GOTS) certified. All made in a fair trade environment. Pair with our fan-favorite [cotton gauze layering pieces](https://www.the-citizenry.com/collections/organic-cotton-gauze-bedding ""Organic Cotton Gauze Bedding""). Want to see our bedding for yourself? Go on and test out our [cotton percale swatches](https://www.the-citizenry.com/products/organic-stonewashed-percale-swatches).",https://www.the-citizenry.com/collections/all/products/organic-stonewashed-sheet-set,"Artisan, Sustainable, Organic","Stonewashed Organic Cotton Percale Pillowcases, Stonewashed Organic Cotton Percale Duvet Cover, Stonewashed Organic Cotton Percale Shams, Organic Cotton Gauze Bed Blanket, Organic Cotton Gauze Duvet Set, Stonewashed Linen Quilt, Stonewashed Linen Duvet Cover, Signature Down-Alternative Pillow, Stonewashed Organic Cotton Percale Euro Shams, Organic Cotton Gauze Quilt, Stonewashed Linen Sheet Set, Stonewashed Linen Shams, Organic Resort Cotton Sheet Set, Stonewashed Organic Cotton Percale Fitted Sheet, Ayla Organic Cotton Quilted Bed Blanket, Stonewashed Linen Pillowcases, Naya Organic Cotton Quilted Bed Blanket, Organic Resort Cotton Pillowcases, Signature Down-Alternative Duvet Insert, Alegria Organic Cotton Quilted Bed Blanket","olive, Full, Queen, King, Cal King, White, Warm Grey, Blush, Seaglass, Aegean, Ivory, French Blue"
Torres Round Leather Ottoman - Medium & Large,$799,"Equal parts modern and timeless, this leather ottoman instantly ups the game of your living area or bedroom with its buttery-soft leather and handcrafted details. Thanks to its sturdy, padded wood frame, style as extra seating or as coffee tables. Available in two sizes and three hues, let them fly solo or mix together depending on the size and scale of your room (spoiler alert: the large ottoman is pretty hefty). Handcrafted with vegetable-tanned cow leather ethically sourced from Alcanena, Portugal, a small town known as “The Land of Leather.” All made start-to-finish in a fair trade environment.",https://www.the-citizenry.com/collections/all/products/torres-leather-ottoman-multiple-sizes,,"Torres Round Leather Ottoman - Small, Laurel Bed with High Footboard, Bay Armchair, Hinoki Wood Side Table, Drift Bed, Leela Wood Side Table, Mishka Wood Side Table, Laurel Bed with Low Footboard, Ora Wicker Side Table, Avon Nightstand, Ravi Platform Bed, Manai Woven Nightstand, Torres Square Leather Ottoman - Medium & Large, Mayra Marble Side Table, Kovai Wood Stool, Prina Wood Coffee Table, Hinoki Wood Ladder, Sanjay Ottoman - Medium & Large, Torres Square Leather Ottoman - Small, Torres Leather Storage Ottoman - Medium & Large","Medium, Large, Set - 1 ea., caramel, olive, natural"
Aegean Cotton Bath Towels,$38,"Part cotton, part relaxed linen. These lightweight, breathable towels are the best of both worlds. Perfectly plush. Effortlessly elegant. A breathable blend of cotton and relaxed linen, these luxe bath towels add a decadent touch to your bath rituals. With a lightweight waffle weave exterior and plush terry cloth interior, these soft towels combine the best of both worlds. And because we’re all about the details, we added a subtle eyelash fringe detailing to make these feel extra special. Loomed from long-staple cotton and relaxed linen in the Aegean region of Turkey, each piece is Oeko-Tex® certified, ensuring our towels are safe and non-toxic. From sourcing to finishing and every step in between, each piece is made sustainably in a fair trade working environment. Note: Each set includes two towels – two face towels/washcloths, two hand towels, two bath towels, or two bath sheets.",https://www.the-citizenry.com/collections/all/products/aegean-cotton-bath-towels,Artisan,Add a premium gift box - $9,"Face Towels, Hand Towels, Bath Towels, Bath Sheets, White, Light Grey, Tan, Black"
Cascada Alpaca Throw,$132.30 (was $189),"Handwoven in the Andes Mountains, an irresistibly soft alpaca blanket in a serene colorway.",https://www.the-citizenry.com/collections/all/products/cascada-throw,Artisan,,"Throw, Shades of blue, grey and cream"
Contigo Lumbar Pillow,$299,"Classic design with incredibly soft wool, this hand-loomed lumbar adds the ultimate luxe layer. This pillow comes ready to style with a down alternative insert. Timeless, luxurious, and the perfect cozy layer for cooler temps – say hello to your new handsome bedfellow. The warm hue of sand and hand-loomed detailing make it a perfect addition to any room, whether as a focal point or a finishing touch. And the thick texture of the soft Peruvian alpaca and highland wool makes this pillow a must for cozying up. Each pillow is handwoven by a group of master artisans in Lima, Peru. All made start-to-finish in a fair trade environment. **This pillow comes ready to style. Cruelty-free down alternative insert included.**",https://www.the-citizenry.com/collections/all/products/contigo-lumbar-pillow-sand,Artisan,,"sand, 12'' x 48'', 12'' x 30''"
Azad Low Leather Storage Bin,$229,"Luxe, ethically sourced leather, hand-stitched to perfection. Storage bins never looked this good. Hello, handsome. Handcrafted with luxe, ethically sourced leather, our low leather storage bins make organization look effortlessly cool. Designed with a unique fold construction and wide base, these bins are perfect for stashing toys, books, or pillows. Bonus: these bins also double as a (very luxurious) dog bed. Made from ethically-sourced leather from Kolkata, each basket is handcrafted in a leather workshop in Gurgaon. Since this is a natural product, each basket is one-of-a-kind – expect variation in markings. Made start-to-finish in a fair trade environment. Also available in [tall size](https://www.the-citizenry.com/products/azad-tall-leather-storage-bins ""Azad Tall Leather Baskets in Natural and Black Leather"").",https://www.the-citizenry.com/products/azad-low-leather-storage-bin,,tall size,"black, Natural, Set of 2"
The Citizenry Digital Gift Voucher,$25,"GIVE THE GIFT THAT WILL ALWAYS</b> FIT THEIR STYLE. Give the gift of artisanal craftsmanship and global inspiration, allowing the recipient to add an elevated touch to their space. Want to add to the story? Personalize it with a message that will be sent along with the card on the date of your choice.",https://www.the-citizenry.com/collections/all/products/gift-card,Artisan,"The Citizenry Gift Voucher, Stonewashed Linen Sheet Set, Stonewashed Linen Duvet Cover, Stonewashed Linen Quilt, Stonewashed Linen Pillowcases, Stonewashed Organic Cotton Percale Sheet Set, Linen Bedding Swatches, Stonewashed Linen Shams, Stonewashed Linen Fitted Sheet, Imabari Waffle Towels, Mara Organic Waffle Towels, Eco-Friendly Rug Pad, Stonewashed Organic Cotton Percale Pillowcases, Stonewashed Organic Cotton Percale Duvet Cover, Naveta Velvet Pillow, Stonewashed Linen Euro Shams, Hinoki Wood Floor Mirror, Aegean Cotton Bath Towels, Organic Cotton Gauze Bed Blanket, Naveta Velvet Small Lumbar Pillow","$25, $50, $75, $100, $150, $250, $500, $1,000"
Organic Cotton Gauze Duvet Set,$223 (was $279),"Extra fluffy and perfectly textured, create a relaxed bedroom oasis with our gauze duvet cover. Made with four layers of airy cotton, this soft gauze bedding is extra fluffy and perfectly textured for a relaxed, effortless look. Lightweight and breathable, it's the ideal layer for creating an extra comfy, cozy-up bed. For the ultimate laid-back style, pair with our organic stonewashed percale sheet sets. Set includes: - 1 Duvet Cover - 2 Shams",https://www.the-citizenry.com/collections/all/products/organic-cotton-gauze-duvet-set,"Artisan, Sustainable, Organic","Organic Cotton Gauze Shams, Stonewashed Organic Cotton Percale Sheet Set, Stonewashed Organic Cotton Percale Pillowcases, Stonewashed Linen Sheet Set, Organic Cotton Gauze Quilt, Organic Cotton Gauze Bed Blanket, Signature Down-Alternative Duvet Insert, Stonewashed Organic Cotton Percale Duvet Cover, Naya Organic Cotton Quilted Bed Blanket, Signature Down-Alternative Duvet Set, Stonewashed Organic Cotton Percale Fitted Sheet, Organic Resort Cotton Sheet Set, Stonewashed Linen Duvet Cover, Organic Resort Cotton Fitted Sheet, Organic Resort Cotton Pillowcases, Araz Bed Blanket, Stonewashed Organic Cotton Percale Shams, Stonewashed Linen Quilt, Stonewashed Linen Shams, Stonewashed Linen Pillowcases","Full/Queen, King/Cal King, mineral, mulberry, tan, white, charcoal, stone-grey, olive"
Rivi Storage Basket,$189,"Crafted by hand from mulaza palm leaves, these woven storage baskets with lids are both beautiful and functional.",https://www.the-citizenry.com/products/rivi-storage-basket,Artisan,"Totora Storage Basket, Kawi Wicker Storage Basket, Mercado Hampers, Totora Floor Basket, Bolga Storage Baskets, Mercado Floor Baskets, Merapi Storage Baskets, Mercado Storage Cube, Mercado Storage Baskets - Round, Mercado Storage Baskets - Square, Azad Tall Leather Storage Bins, Kawi Wicker Floor Basket, Ziwa Oversized Basket, Azad Low Leather Storage Bin, Nyumba Baskets, Bolga Floor Baskets, Kawi Wicker Hamper, Bolga Tall Basket, Azad Tall Leather Storage Bins - Black, Padma Rectangle Storage Baskets","Medium, Large, Oversized, Set of 2 - M&L, Set of 3 - M&L&O"
Organic Cotton Gauze Quilt,$239 (was $299),"The finishing touch to your bedroom oasis? An extra soft, perfectly textured gauze quilt loomed from fully traceable cotton. Incredibly soft and fluffy, these extra plush gauze quilts are pretty dreamy. Made with multiple layers of lightweight cotton and quilted for added thickness, this luxurious layer elevates the look of your bedroom with its textured feel and stitched detailing. Made using fully traceable cotton from the Aegean region of Turkey, rest assured that from sourcing to finishing and every step in between, each fiber is made in the most sustainable way possible. All Oeko-Tex® and Global Organic Textile Standard (GOTS) certified.",https://www.the-citizenry.com/collections/all/products/organic-cotton-quilt,"Sustainable, Organic",,"stone grey, Full/Queen, King/Cal King"
Padma Rectangle Storage Baskets,$119,"A material known for its durability, the hogla leaf of Bangladesh was practically born to stash, stow, and corral clutter.",https://www.the-citizenry.com/products/padma-rectangle-storage-baskets,,,"Small, Medium, Large, Oversized, Set of 2 - M&L, Set of 3 - M&L&O"
Nevado Alpaca Throw,$189,"Add some drama with this moody charcoal throw, handcrafted from soft baby alpaca. Rich charcoal hue, accented with intricate patterns, this luxe throw will instantly elevate the look of your bed or couch. Not to mention, this beauty is velvety soft. Hand-loomed from baby alpaca, it’s destined to become your go-to for cozying up on chilly nights. Crafted by master weavers in a quiet mountain village in the Peruvian Andes, each throw takes about a week to complete. All made exclusively in a fair trade environment. Note: Alpaca wool is naturally hypoallergenic, so this throw is ideal for those with allergies or sensitive skin.",https://www.the-citizenry.com/collections/all/products/nevado-alpaca-throw-blanket,,,charcoal
Totora Storage Basket,$159,"Rustic meets modern in this round woven storage basket. Sustainably made with natural totora reeds. Add a natural element to your space with these woven storage baskets. Thanks to the incredibly durable totora reed (a material used to build fishing boats), these designs are made to withstand it all. Not to mention, these baskets are total statement makers with their extra chunky weave and braided handles. Handwoven in the homes of master artisans in Lima, Peru, each basket undergoes a meticulous weaving process that takes up to a day to complete. Exclusively made in a fair trade working environment. **Note:** Due to the handwoven nature of these baskets, expect some variation in size, shape, and color.",https://www.the-citizenry.com/products/totora-storage-basket,Artisan,"https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzIzMTY5Mjk1Ljk4MjUyODQzMTY1Mi5qcGVn?w=640&h=640&fit=cover, https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNzA3NzkyNjIzLjY2NjIzNTI4NjE5OC5qcGVn?w=640&h=640&fit=cover","Medium, Large, Oversized, Set of 2 - M&L, Set of 3 - M&L&O"
Aurora Alpaca Throw,$189,"Handwoven in Peru 16 reviews Hand-loomed in a contrasting grid of the most perfect neutrals, this alpaca throw is an instant modern classic.",https://www.the-citizenry.com/collections/all/products/aurora-alpaca-throw,Artisan,"Esperanza Alpaca Throw, Paloma Alpaca Throw, Celeste Chunky Wool Throw, Cascada Alpaca Throw, Primavera Alpaca Throw, Cuadra Alpaca Throw, La Calle Alpaca Throw, La Brisa Alpaca Throw, Nevado Alpaca Throw, Marisol Alpaca Throw, Mullins Mohair Throw, Selva Alpaca Throw, Diamanta Alpaca Throw, Contigo Chunky Wool Throw, Palabra Alpaca Throw, El Mar Alpaca Throw, Risas Luxe Wool Throw, Maeve Merino Throw, La Calle Alpaca Throw, Adriano Alpaca Throw","Sand, light grey, ecru"
Stonewashed Linen Sheet Set,$295 (was $369),"Oh-so-soft French linen sheet sets give beauty sleep a whole new meaning. Set includes: - 1 flat sheet - 1 fitted sheet - 2 pillowcases Made using only the finest French flax and woven in the oldest, family-run linen mill in Portugal, each piece is Oeko-Tex® certified and made sustainably in a fair trade working environment. Want to see our bedding for yourself? Go on and test out our linen fabric swatches.",https://www.the-citizenry.com/products/stonewashed-linen-sheet-sets,,,"Full, Queen, King, Cal King"
Tikal Wood Bud Vase,$89,"Small but mighty, a petite bud vase handcrafted from Guatemalan Granadillo wood.",https://www.the-citizenry.com/products/tikal-wood-bud-vase,"FSC, Handmade, Artisan","Shaila Wall Hanging, Tikal Wood Serving Board - Arch, Hansa Vase, Faliza Vase, Tikal Wood Serving Bowl, Dasar Brass Bookend, Laguna Wall Hanging, Tikal Round Wood Tray, Lomas Wall Hanging, Beeswax Taper Candles - Set of 2, Alameda Vase, Terranova Vase, Hinoki Wood Floor Mirror, Vati Vase, Tikal Wood Serving Board - Round, Vista Wall Hanging - Portrait, Vallarta Vase, Tikal Wood Serving Board - With Handle, Veeha Glass Candle Holders - Set of 2, Binita Vase",Granadillo – Dark Brown
Tejal Handwoven Area Rug,$699.30 (was $999),An eye-catching pattern in a palette that gives off desert vibes. Meet the rug that’s a total room maker. sunset,https://www.the-citizenry.com/products/tejal-flatweave-area-rug-multi,Artisan,"Eco-Friendly Rug Pad, Agustin Handwoven Accent Rug, Aditha Handwoven Jute Area Rug, Parthiv Handwoven Jute Area Rug, Rahi Hand-Knotted Accent Rug, Artha Handwoven Striped Area Rug, Lalita Hand-Knotted Area Rug, Ritu Handwoven Accent Rug, Sabina Handwoven Jute Area Rug, Bandera Handwoven Accent Rug, Elora Jute Accent Rug, Nehal Handwoven Area Rug, Artha Handwoven Striped Accent Rug, Hanita Hand-Knotted Accent Rug, Anita Jute Accent Rug, Naira Handwoven Jute Area Rug, Bhakti Handwoven Area Rug, Adini Hand-Knotted Area Rug, Jasmit Handwoven Area Rug, Lata Hand-Knotted Area Rug","6' x 9', 8' x 10', 9' x 12', 10' x 14'"
